article_id,article_global_id,db_id
2732,10.1093/nar/gkt1178,MBDC1211
2602,10.1093/nar/gkt1177,MBDC1113
2675,10.1093/nar/gkt1176,MBDC1738
2690,10.1093/nar/gkt1175,MBDC1691
2664,10.1093/nar/gkt1173,MBDC1327
2721,10.1093/nar/gkt1168,MBDC0316
2660,10.1093/nar/gkt1167,NAR9261
2630,10.1093/nar/gkt1166,MBDC1725
2724,10.1093/nar/gkt1165,MBDC1678
2696,10.1093/nar/gkt1164,MBDC1717
2743,10.1093/nar/gkt1159,MBDC0995
2593,10.1093/nar/gkt1158,MBDC0357
2622,10.1093/nar/gkt1157,MBDC1385
2610,10.1093/nar/gkt1156,MBDC1465
2715,10.1093/nar/gkt1155,MBDC0812
2609,10.1093/nar/gkt1153,MBDC1707
2727,10.1093/nar/gkt1151,MBDC1709
2620,10.1093/nar/gkt1145,MBDC0068
2620,10.1093/nar/gkt1145,NAR9254
2716,10.1093/nar/gkt1144,MBDC0331
2662,10.1093/nar/gkt1143,MBDC1737
2712,10.1093/nar/gkt1140,MBDC0318
2678,10.1093/nar/gkt1135,MBDC1245
2676,10.1093/nar/gkt1133,MBDC1148
2604,10.1093/nar/gkt1131,MBDC0445
2766,10.1093/nar/gkt1130,MBDC1708
2679,10.1093/nar/gkt1129,MBDC0315
2587,10.1093/nar/gkt1128,MBDC0292
2646,10.1093/nar/gkt1127,MBDC0986
2751,10.1093/nar/gkt1126,MBDC1267
2644,10.1093/nar/gkt1125,MBDC1020
2692,10.1093/nar/gkt1123,MBDC1676
2655,10.1093/nar/gkt1122,MBDC1724
2668,10.1093/nar/gkt1121,MBDC1706
2768,10.1093/nar/gkt1115,NAR9175
2728,10.1093/nar/gkt1114,MBDC0391
2663,10.1093/nar/gkt1113,MBDC1570
2735,10.1093/nar/gkt1111,MBDC1697
2592,10.1093/nar/gkt1110,MBDC0607
2677,10.1093/nar/gkt1108,MBDC1728
2656,10.1093/nar/gkt1103,MBDC0114
2656,10.1093/nar/gkt1103,MBDC0420
2720,10.1093/nar/gkt1102,MBDC0612
2588,10.1093/nar/gkt1100,MBDC0960
2726,10.1093/nar/gkt1099,MBDC1000
2739,10.1093/nar/gkt1097,MBDC0790
2654,10.1093/nar/gkt1094,MBDC1699
